ISIN,Country,Region,Sector,Rating,Currency,Issue_Date,Maturity_Date,MTY_YEARS,Coupon,YLD_YTM_MID,DUR_ADJ_MID,Price,Outstanding_Amount_M,Market_Value,Benchmark_Weight
ME7UR23GDPPQ,Mexico,North America,Utility,BBB,EUR,2025-05-24,2038-03-19,12.8286,7.5062,7.0243,9.6214,105.5638,7484.55,7900.98,0.0015331007248270594
ME0Y9DOM5IGQ,Mexico,North America,Energy,BBB-,USD,2025-05-16,2045-11-02,20.4796,8.3843,8.0065,15.3597,105.8652,8885.05,9406.17,0.0018251667571423471
USPKI7P5TB94,United States,North America,Financial,AA,EUR,2025-11-26,2053-01-01,27.1191,5.6715,4.7508,20.3393,118.499,8583.82,10171.74,0.0019737174333756564
KU874FRHOCN9,Kuwait,Middle East,Energy,BBB+,EUR,2024-12-03,2027-03-06,2.2575,5.4134,6.5073,1.6931,95.2684,9947.35,9476.67,0.0018388465286517431
USJ2QP89UZFK,United States,North America,Energy,A+,USD,2022-06-11,2034-09-11,12.2611,5.5229,5.0984,9.1958,104.844,5898.93,6184.68,0.0012000710533153379
ME8UT0CVS4F8,Mexico,North America,Energy,A-,USD,2025-09-09,2044-03-11,18.5164,6.6997,6.9393,13.8873,97.8821,5275.05,5163.33,0.0010018890018100666
GECGVYIE6IVW,Germany,Europe,Industrial,BB,EUR,2024-10-27,2034-09-04,9.8616,9.2574,9.269,7.3962,100.1049,3155.82,3159.13,0.00061299541231884
PEPVS7HZIOYK,Peru,Latin America,Government,A+,CAD,2025-10-28,2039-10-21,13.9892,5.7188,5.6682,10.4919,100.3137,2313.65,2320.91,0.0004503477800549261
MEL1CQ99CHJ7,Mexico,North America,Communications,AA+,USD,2024-10-04,2052-12-13,28.2123,4.3975,3.7624,21.1593,112.3583,3907.14,4390.0,0.000851832580514163
CA55NF4ZW9XA,Canada,North America,Corporate,BBB-,EUR,2025-08-24,2047-02-23,21.5164,6.3733,7.3112,16.1373,85.381,8737.19,7459.9,0.0014475138650062878
CH3KX7EEDTJV,Chile,Latin America,Technology,BBB,EUR,2021-05-23,2028-10-28,7.4397,8.7109,7.7569,5.5798,105.9745,8955.05,9490.07,0.0018414466554350893
CAZHWJR64DPJ,Canada,North America,Corporate,A-,EUR,2021-08-09,2032-10-13,11.1883,5.9631,5.6058,8.3912,102.5837,854.81,876.89,0.00017015113246630166
INA1WJ0TPAC5,India,Asia,Financial,BB,USD,2021-12-13,2047-02-10,25.1803,9.5897,9.0401,18.8852,109.108,1310.8,1430.19,0.00027751308390103663
CA6T4UFEL624,Canada,North America,Technology,AA,EUR,2025-08-01,2047-11-24,22.3306,3.9602,4.4464,16.7479,93.4499,2883.18,2694.32,0.0005228039996197994
CA6HID25OWF7,Canada,North America,Technology,BBB,EUR,2024-08-01,2028-03-17,3.6294,6.8081,7.283,2.7221,98.0538,5717.65,5606.38,0.0010878581190758526
TU5935A0L725,Turkey,Europe,Industrial,A+,EUR,2024-05-23,2040-11-05,16.4675,7.5935,6.5611,12.3506,111.2322,3881.74,4317.75,0.0008378132402084344
JA3J2D54I3QK,Japan,Asia,Industrial,BB,USD,2021-06-18,2024-08-07,3.1404,8.2086,8.7579,2.3553,99.8031,4914.4,4904.73,0.0009517104356777288
RU2IAGL58KXO,Russia,Europe,Corporate,A,EUR,2022-11-27,2026-03-04,3.2685,7.6777,7.5935,2.4514,101.1789,9466.97,9578.58,0.0018586210749570275
KU9T7E8G8JDP,Kuwait,Middle East,Communications,BB+,GBP,2021-09-01,2042-08-12,20.9607,8.6571,9.2722,15.7205,92.4411,5683.36,5253.76,0.0010194359768114097
QA0LVSNUJZA7,Qatar,Middle East,Government,AAA,EUR,2025-07-16,2033-04-27,7.7872,3.4644,3.2568,5.8404,102.0974,721.08,736.21,0.00014285368202741046
JATZ0YNCXLL4,Japan,Asia,Technology,AA-,EUR,2023-04-24,2035-01-21,11.7534,5.1297,4.7677,8.8151,103.7725,8133.07,8439.89,0.0016376704505593799
CAZKLOOKEP7Y,Canada,North America,Industrial,BBB,USD,2023-03-31,2041-05-10,18.1259,5.3856,6.6062,13.5944,82.7379,9342.19,7729.53,0.0014998326847520814
JA6WKTAKPUXQ,Japan,Asia,Technology,BB-,EUR,2021-05-01,2029-12-29,8.6706,10.0931,10.081,6.503,101.0099,8351.35,8435.69,0.001636855485448182
MEPHR62GDSWM,Mexico,North America,Financial,AAA,USD,2026-02-10,2054-12-06,28.8392,3.5715,3.696,21.6294,97.1064,5183.74,5033.75,0.0009767453877364846
US31YIHAIR4C,United States,North America,Financial,BB,USD,2022-03-11,2043-01-03,20.8305,11.826,10.0124,15.6229,128.7393,9702.19,12490.54,0.0024236557904818616
RUOWGZRIXA11,Russia,Europe,Utility,AAA,USD,2021-09-23,2026-01-29,4.355,1.8905,3.2473,3.2662,93.9868,6022.4,5660.26,0.0010983129572166505
INDPG8SBI4Q2,India,Asia,Utility,AAA,CAD,2023-02-26,2052-09-27,29.608,4.866,3.5395,22.206,128.502,5075.84,6522.55,0.001265631115724978
MEY9V86WZS3T,Mexico,North America,Financial,BBB-,CAD,2022-04-13,2027-05-23,5.1135,6.2209,7.7129,3.8351,95.8682,7788.35,7466.55,0.0014488042264323515
CH60RJIW1SWJ,China,Asia,Government,AA,USD,2022-12-29,2051-11-30,28.9408,3.8889,4.7358,21.7056,81.5715,5519.52,4502.35,0.0008736328972387111
RUCKJLTEIYZC,Russia,Europe,Utility,BB-,AUD,2023-02-09,2026-04-25,3.2085,9.7011,9.416,2.4064,100.2143,2079.05,2083.5,0.00040428090694789485
MEOTOHP6VZ41,Mexico,North America,Technology,AAA,EUR,2024-07-10,2042-11-14,18.3608,3.9755,3.6086,13.7706,105.2621,9607.67,10113.23,0.0019623641932194186
CANAM148P0TV,Canada,North America,Utility,BBB+,EUR,2022-07-25,2032-04-27,9.7667,7.9846,6.3954,7.325,110.8836,3923.28,4350.27,0.0008441233986408537
MEHHPBMYOFQE,Mexico,North America,Energy,AAA,USD,2025-01-21,2038-07-24,13.5138,2.164,3.0625,10.1353,91.3862,9153.81,8365.32,0.0016232009390493706
AUWAOUAXEQBN,Australia,Asia,Financial,A+,EUR,2024-01-24,2037-10-06,13.7108,6.6082,5.571,10.2831,110.3555,7887.22,8703.98,0.0016889142925156407
GEHL1N13JCAT,Germany,Europe,Financial,A+,EUR,2024-01-21,2037-01-18,13.0037,5.1907,4.9151,9.7528,102.9669,4952.59,5099.52,0.000989507353299222
GE9MX2X18HAF,Germany,Europe,Industrial,A-,JPY,2021-10-01,2046-06-29,24.7612,6.5496,6.5026,18.5709,100.4224,4780.17,4800.36,0.0009314585526644571
MEEYUHZ1GV0E,Mexico,North America,Industrial,BB-,USD,2024-12-25,2051-07-22,26.5902,8.2773,9.8114,19.9426,70.6834,1578.8,1115.95,0.0002165381704384465
FR38DALY8OZC,France,Europe,Energy,A,GBP,2023-05-15,2033-12-23,10.6178,7.5489,6.2069,7.9633,108.0787,7954.35,8596.96,0.0016681482053250655
GBYWD14VE92M,United Kingdom,Europe,Technology,A,EUR,2022-09-05,2052-02-10,29.453,3.9416,5.6725,22.0897,63.2098,4656.01,2943.06,0.0005710693381339436
PEPNSM43D8W3,Peru,Latin America,Government,A,USD,2024-11-01,2052-04-23,27.4932,6.8215,6.4908,20.6199,106.8043,2953.32,3154.27,0.0006120523812615965
FRZP08J3TRP0,France,Europe,Energy,A+,USD,2026-03-15,2034-01-19,7.8557,5.7753,5.8982,5.8917,99.2005,1724.36,1710.57,0.0003319178262528728
MEJ43D5IQVNB,Mexico,North America,Financial,A,EUR,2023-11-09,2030-11-22,7.0419,6.083,6.3737,5.2814,100.5198,2137.04,2148.15,0.0004168255484809793
ME4GH2M5ZJA8,Mexico,North America,Industrial,A+,USD,2024-11-09,2036-07-31,11.7333,3.9062,5.3403,8.8,87.1885,3960.56,3453.16,0.0006700487912820698
PODZR1YXR2DH,Poland,Europe,Corporate,BBB,USD,2023-05-13,2044-08-09,21.258,7.2229,7.4438,15.9435,97.0911,2252.95,2187.41,0.00042444353187755924
MEYLURTP0LZJ,Mexico,North America,Communications,A,USD,2026-02-08,2049-05-14,23.2788,8.0237,6.3788,17.4591,128.4706,848.49,1090.06,0.00021151449264584702
MEJEGET1GHR0,Mexico,North America,Financial,A-,USD,2022-10-07,2039-08-27,16.8992,4.8051,7.2619,12.6744,68.0517,4084.2,2779.37,0.0005393070431215601
US9SKDGIGATJ,United States,North America,Government,A-,USD,2024-11-06,2041-10-29,16.9894,6.266,6.0477,12.742,103.6912,6951.47,7208.06,0.0013986470046243548
HO9TZE5R5UQP,Hong Kong,Asia,Corporate,AA-,USD,2021-05-23,2039-10-23,18.4316,7.7259,5.7397,13.8237,125.9326,9046.65,11392.68,0.0022106277912009326
TUGB7R3OCWBF,Turkey,Europe,Financial,BB-,USD,2022-04-27,2050-06-11,28.1434,8.2814,8.9321,21.1075,85.7794,2272.39,1949.24,0.00037822918889326355
MEUK9E1V2ISQ,Mexico,North America,Communications,A-,GBP,2024-10-31,2028-04-10,3.4458,6.585,6.6352,2.5843,99.6312,9709.97,9674.16,0.001877167352416149
INP49KWV08HH,India,Asia,Energy,AAA,USD,2024-09-30,2046-12-21,22.2411,3.1456,3.0462,16.6808,102.4083,5930.32,6073.14,0.0011784279084336637
USXFGCAQVKIZ,United States,North America,Energy,BBB-,USD,2025-09-14,2039-08-09,13.9122,9.8169,8.1079,10.4342,118.8194,1329.26,1579.42,0.00030646957045915243
ITZQY72WX7PT,Italy,Europe,Industrial,BB+,USD,2026-04-17,2038-08-15,12.3385,10.8791,8.8821,9.2538,120.464,2416.44,2910.94,0.0005648367954264003
ITX63CFL0UKE,Italy,Europe,Government,A+,USD,2023-10-29,2029-02-01,5.2675,3.4673,4.2642,3.9506,97.4288,8390.88,8175.14,0.0015862985426570739
ISYZ7SRCBPLJ,Israel,Middle East,Communications,BB+,CAD,2022-01-07,2029-02-01,7.0745,8.582,8.3985,5.3059,101.3269,956.9,969.6,0.0001881405170994379
SID84U89YJB1,Singapore,Asia,Government,A+,USD,2024-05-02,2030-11-29,6.5824,4.5324,5.2131,4.9368,97.3817,3503.87,3412.13,0.0006620873583029136
FRQX6GVWRDML,France,Europe,Communications,BBB+,USD,2021-08-16,2034-03-03,12.5544,7.8297,7.1217,9.4158,108.8741,4668.07,5082.33,0.0009861718175226755
GEY4LYK83TQL,Germany,Europe,Government,A-,USD,2026-01-13,2029-11-23,3.8653,6.3445,6.0576,2.899,100.997,3681.6,3718.31,0.0007214983149092522
MEL8OS9XTOGN,Mexico,North America,Technology,BB-,USD,2023-10-17,2046-07-15,22.7609,9.2971,9.7845,17.0707,92.0837,3461.36,3187.35,0.0006184712017088421
ME1W1HT7PZE9,Mexico,North America,Government,AA-,USD,2021-10-11,2045-02-09,23.3488,5.0574,4.7969,17.5116,102.3175,4841.5,4953.7,0.000961212540795674
TUVIFTTD96QE,Turkey,Europe,Industrial,BB-,USD,2025-12-18,2048-03-03,22.2231,9.8652,9.8379,16.6673,100.3193,5872.33,5891.08,0.0011431011112563495
SP3RZSJ49ITN,Spain,Europe,Utility,BB+,AUD,2023-02-24,2034-09-24,11.5907,5.7299,8.0546,8.693,79.9717,6308.82,5045.27,0.0009789807206129137
ME7S55J2O7S3,Mexico,North America,Utility,BB,USD,2023-11-21,2045-05-18,21.5062,9.7191,10.3218,16.1297,91.5813,1154.75,1057.54,0.00020520433421342775
CAKKV9RFTMTT,Canada,North America,Communications,BBB,CAD,2024-02-03,2038-09-14,14.6235,6.6909,7.1863,10.9676,94.9856,3655.39,3472.09,0.0006737219554618269
MEQLGZUI1B0Z,Mexico,North America,Communications,A+,USD,2025-10-07,2048-08-03,22.839,4.2933,5.3054,17.1292,81.0086,5605.26,4540.74,0.0008810820664336856
CH3NX39RBSV5,Chile,Latin America,Technology,AA+,USD,2024-07-26,2052-04-06,27.7167,2.3671,3.8702,20.7875,68.5076,5234.49,3586.03,0.0006958307946927572
TU5PSQ0OXFQ8,Turkey,Europe,Government,AAA,EUR,2024-06-30,2034-04-05,9.7724,3.0947,3.3636,7.3293,96.9227,1310.82,1270.48,0.0002465230653511694
ZAMYX444NLZ1,South Africa,Africa,Technology,AAA,USD,2025-02-16,2038-03-30,13.1249,3.4547,3.599,9.8437,98.0053,847.22,830.32,0.0001611147216976127
TU5BCW790PDW,Turkey,Europe,Financial,AA+,USD,2023-07-22,2045-07-13,21.9937,1.0756,3.7266,16.4952,57.3631,4307.25,2470.77,0.0004794265113797217
IT5PY6B2KNFT,Italy,Europe,Government,BBB+,JPY,2024-02-17,2052-08-07,28.4912,6.9625,7.2569,21.3684,95.1248,9799.85,9322.09,0.0018088519317734108
CHU2GC5WI6FQ,China,Asia,Industrial,BBB+,USD,2025-02-08,2033-04-25,8.2152,9.6339,7.0625,6.1614,115.9923,3723.08,4318.48,0.000837954888906333
GBJJA26YFPMV,United Kingdom,Europe,Government,BB,USD,2026-01-21,2030-11-02,4.7844,9.0681,9.0065,3.5883,98.5277,1325.79,1306.27,0.00025346773233445003
GEXPJ4HNRIUU,Germany,Europe,Technology,A+,USD,2022-01-06,2029-02-02,7.0802,6.4171,5.0497,5.3101,108.2192,9150.93,9903.06,0.0019215829509764432
RU9K9XJUY0BV,Russia,Europe,Technology,AA+,USD,2022-01-22,2025-01-05,2.9584,5.1146,3.3598,2.2188,101.8116,3297.42,3357.16,0.0006514210173118285
KUR6K2VMWWYZ,Kuwait,Middle East,Communications,AAA,JPY,2021-07-11,2037-02-28,15.6481,4.0125,4.3482,11.7361,97.4061,713.46,694.95,0.00013484762000645046
CAX4W6XLPU0D,Canada,North America,Industrial,BBB,USD,2022-11-15,2028-10-08,5.902,6.7554,6.9778,4.4265,99.3129,6990.25,6942.22,0.0013470635938717614
INK0GET8T63J,Indonesia,Asia,Industrial,BBB-,USD,2023-06-21,2033-02-18,9.6735,8.2424,8.3114,7.2552,96.9213,7341.92,7115.89,0.001380762401219801
CA3R30ME8F84,Canada,North America,Industrial,BB+,CAD,2025-11-10,2052-04-23,26.4689,7.5231,8.8558,19.8517,76.3035,8462.02,6456.82,0.0012528769117347283
RU0982N2ATQY,Russia,Europe,Energy,AA+,USD,2024-01-29,2046-09-22,22.6649,4.0394,3.8922,16.9987,102.2798,1148.37,1174.55,0.00022790887413278132
SIYV37DIA5U6,Singapore,Asia,Communications,AA-,EUR,2022-11-23,2033-03-16,10.3194,5.4913,4.9362,7.7396,102.5418,5628.51,5771.57,0.001119911473056521
MEHC36KOF8KR,Mexico,North America,Government,BB+,USD,2025-11-24,2037-03-31,11.3588,6.3187,8.4381,8.5191,81.5941,3839.63,3132.91,0.0006079077015532177
TUD5EQY08P0F,Turkey,Europe,Corporate,BBB,USD,2022-11-21,2047-10-22,24.9349,7.3984,7.9929,18.7011,89.1003,1323.7,1179.42,0.00022885384558314671
QAODRO8BNP84,Qatar,Middle East,Communications,A+,EUR,2023-08-25,2045-11-27,22.2749,6.0192,6.4729,16.7062,93.0526,5149.54,4791.78,0.0009297936953658668
CADYT9MOGE4Q,Canada,North America,Government,BB-,EUR,2023-06-22,2026-09-15,3.2366,10.0431,9.9092,2.4275,100.7716,9725.05,9800.09,0.0019016027230002377
UAXXVA2IEUC1,UAE,Middle East,Technology,AA-,GBP,2022-03-05,2033-02-06,10.9348,6.2412,4.8934,8.2011,112.3513,3964.62,4454.31,0.0008643112486811028
FRHH5LF6A4FE,France,Europe,Financial,A+,USD,2023-08-18,2037-12-19,14.3489,4.9668,5.4066,10.7617,96.7147,3528.15,3412.24,0.0006621087026272545
RUJGXAA2ILGB,Russia,Europe,Utility,AA+,USD,2025-03-09,2051-07-13,26.3628,4.7392,4.0983,19.7721,112.5001,1165.28,1310.94,0.0002543738959223774
US0S0R2SDS8B,United States,North America,Energy,AAA,USD,2024-05-30,2039-11-02,15.4365,3.2651,2.6973,11.5774,105.7682,3695.52,3908.69,0.0007584395191639872
GE25SQ8CROYR,Germany,Europe,Energy,AAA,USD,2021-09-06,2033-08-08,11.9294,3.8542,3.3996,8.9471,104.811,6096.53,6389.84,0.0012398801586042411
US6CCVCJWTL9,United States,North America,Energy,BBB,USD,2023-09-06,2036-08-20,12.9656,7.7782,7.9922,9.7242,97.8697,6327.41,6192.61,0.0012016097850610047
METQVDZ4X1ZH,Mexico,North America,Communications,AA-,GBP,2022-11-07,2031-04-20,8.4559,3.7674,5.3374,6.342,90.1173,2177.02,1961.87,0.0003806799054062234
USQIMQODPXNF,United States,North America,Corporate,AA,GBP,2026-03-04,2050-07-29,24.4216,3.1397,4.3133,18.3162,79.3006,1962.01,1555.89,0.0003019038254433214
IN7C3DD03UVU,India,Asia,Industrial,BBB+,EUR,2024-09-24,2027-09-15,2.9762,6.6842,7.5243,2.2322,98.2894,8835.88,8684.73,0.001685179035755983
USLEMX15Z8VM,United States,North America,Government,AA,AUD,2024-11-22,2051-01-05,26.1396,4.5527,4.7534,19.6047,95.1591,2900.17,2759.77,0.0005355038726026359
MEUHXID4N1U3,Mexico,North America,Industrial,BBB-,USD,2021-08-19,2050-07-20,28.9394,7.9698,8.4874,21.7046,88.9893,8586.47,7641.03,0.0014826602056232652
GB493WXA73JG,United Kingdom,Europe,Corporate,AA,USD,2021-06-19,2042-06-08,20.9845,6.31,4.5787,15.7383,126.8698,1994.74,2530.72,0.000491059168145513
USZLMA5UOFWB,United States,North America,Financial,BB-,EUR,2025-10-18,2046-10-29,21.0439,8.8451,9.7734,15.783,85.9435,8875.55,7627.96,0.0014801241118129417
SA0HPMNZ1UDB,Saudi Arabia,Middle East,Financial,A-,USD,2022-04-27,2047-04-05,24.9585,6.6502,6.1552,18.7189,109.6833,5320.94,5836.18,0.0011324483530171178
USFWYJXRPJ1E,United States,North America,Energy,BB+,AUD,2022-11-27,2042-08-01,19.6908,8.479,8.7002,14.7681,96.9231,3191.76,3093.55,0.0006002703142254189
USPKYRYBOVAK,United States,North America,Communications,AA+,USD,2022-11-28,2042-08-10,19.7134,5.062,4.3852,14.7851,110.5247,9499.33,10499.11,0.0020372400830073016
CAHEJLA0GNZS,Canada,North America,Government,BBB-,USD,2023-03-10,2026-10-21,3.6218,7.1287,7.6876,2.7163,98.859,7703.5,7615.6,0.0014777257859142732
ME43C5BA75UU,Mexico,North America,Government,A,USD,2025-01-23,2049-12-20,24.926,7.6036,5.7224,18.6945,133.7193,2054.43,2747.16,0.0005330570368759197
HOZPEAL2W37D,Hong Kong,Asia,Financial,AA-,GBP,2023-04-15,2046-11-28,23.639,2.6203,3.9006,17.7293,78.1736,9533.2,7452.45,0.0014460682721304722
US4IVSOLMLGS,United States,North America,Industrial,A+,EUR,2022-04-11,2035-05-26,13.1326,5.7205,5.4772,9.8495,102.1555,2524.49,2578.91,0.0005004099225999498
USES6M033IFH,United States,North America,Communications,BB,USD,2022-01-15,2037-03-26,15.2029,9.5188,9.176,11.4022,104.3646,7823.76,8165.23,0.0015843756130732706
KRV1XG1R11Q7,South Korea,Asia,Technology,AA,EUR,2022-01-18,2032-04-11,10.2367,5.3073,4.5983,7.6775,105.3537,1614.43,1700.86,0.00033003370453150776
USUWW5WFCPKJ,United States,North America,Energy,BBB,USD,2024-12-12,2045-03-05,20.2425,9.0607,8.2201,15.1819,112.1099,3448.44,3866.04,0.000750163742499083
TUCSLQC3C54W,Turkey,Europe,Industrial,AA+,EUR,2022-02-28,2035-03-24,13.0753,3.9685,3.208,9.8064,108.2428,7908.58,8560.47,0.0016610677108232518
CASQT26Q3XLR,Canada,North America,Financial,BBB+,USD,2023-05-23,2028-04-06,4.8782,7.2091,7.2127,3.6586,98.8285,6372.48,6297.82,0.001222024661096516
RUFCD6MZSGIP,Russia,Europe,Communications,AA+,USD,2024-02-16,2040-08-11,16.4959,4.8396,3.7644,12.3719,113.9335,8303.69,9460.68,0.0018357438400498248
USPSFNKOMV2X,United States,North America,Communications,BB+,USD,2026-04-18,2053-05-15,27.0942,9.8226,8.0106,20.3206,137.1785,8774.21,12036.33,0.002335521194492035
ITCDYK0X65MU,Italy,Europe,Energy,BB+,USD,2025-10-01,2046-03-28,20.503,9.3563,9.1587,15.3772,105.1138,5500.83,5782.13,0.0011219605281932476
FRFM8ZOV7LN2,France,Europe,Energy,BB,USD,2022-09-10,2029-02-25,6.4673,7.0978,8.6554,4.8504,93.4994,4966.73,4643.87,0.0009010933406998419
SW3Y30YSXPNN,Switzerland,Europe,Industrial,A-,USD,2023-10-26,2030-05-04,6.5268,7.0428,5.8444,4.8951,105.3768,1274.5,1343.03,0.0002606006174505549
NEGH8RIEC4D1,Netherlands,Europe,Technology,AAA,GBP,2021-07-13,2028-05-27,6.8774,5.9799,5.047,5.1581,105.685,4542.19,4800.41,0.0009314682546300667
CA45BM1ENF31,Canada,North America,Utility,BB,USD,2024-08-27,2050-11-30,26.2769,8.8719,8.7953,19.7077,103.0786,6178.37,6368.58,0.0012357548828270816
CH3FPOYIPK0Q,China,Asia,Corporate,AA,USD,2022-10-13,2050-04-23,27.5462,3.0557,3.7282,20.6596,83.8218,8441.98,7076.22,0.0013730648617052232
CATL3Q4N89QK,Canada,North America,Communications,AA-,CAD,2023-09-30,2030-10-09,7.0311,2.7906,5.1153,5.2733,87.0375,4653.07,4049.92,0.0007858436912245828
USNS832EJX5T,United States,North America,Technology,BBB+,USD,2021-06-25,2042-01-07,20.5534,6.5665,6.929,15.415,93.2933,9709.42,9058.23,0.0017576527188589534
USD44K1J6FP8,United States,North America,Industrial,AAA,EUR,2025-06-30,2031-02-26,5.6645,2.3564,3.1165,4.2483,96.6202,3643.45,3520.31,0.0006830785310956293
POHQMABSI9NB,Poland,Europe,Government,A+,USD,2024-11-30,2044-03-07,19.2801,5.2558,5.9978,14.46,87.9657,4103.91,3610.03,0.0007004877381853175
SP74X2EK3ZEZ,Spain,Europe,Utility,A+,EUR,2025-11-22,2047-08-18,21.7508,6.6764,5.587,16.3131,117.2556,9873.58,11577.33,0.0022464571501968184
USQACJ4T0SEK,United States,North America,Utility,BBB-,USD,2025-10-11,2031-03-11,5.4191,8.2131,8.0221,4.0643,99.8815,7037.97,7029.63,0.0013640245701502904
CAKBP2QD6VAS,Canada,North America,Communications,BB+,USD,2022-09-05,2051-04-23,28.6507,8.934,8.5339,21.488,108.7457,3755.21,4083.63,0.0007923847564385082
SWIFPWIOXD9C,Switzerland,Europe,Communications,BB-,USD,2023-11-17,2052-03-03,28.315,8.9394,8.6629,21.2362,105.2226,4715.63,4961.9,0.000962803663155632
INSS9TOQW9JA,India,Asia,Technology,AA+,EUR,2025-02-24,2054-07-13,29.4017,5.988,3.9846,22.0513,145.1406,5920.79,8593.47,0.0016674710081255224
US2M0W10LBT3,United States,North America,Energy,AA-,EUR,2021-09-22,2029-10-04,8.0389,6.7872,5.1538,6.0292,108.7019,1512.63,1644.26,0.00031905107946155294
FRG2QZW3C1QK,France,Europe,Communications,A,USD,2023-04-10,2049-07-07,26.2603,6.5826,6.1607,19.6952,109.9235,8845.9,9723.72,0.001886783940728286
ITBHB7S9TJ1G,Italy,Europe,Energy,AA,GBP,2023-07-31,2046-11-27,23.344,5.5167,4.7268,17.508,113.4381,4068.89,4615.67,0.0008956214320960835
MEM25LEN606N,Mexico,North America,Government,A+,USD,2024-05-16,2036-08-16,12.2609,5.5616,4.4902,9.1957,112.0645,5684.03,6369.77,0.0012359857896085877
NE9RR7S20CV3,Netherlands,Europe,Corporate,BB+,EUR,2024-01-06,2044-09-16,20.71,9.0588,9.056,15.5325,101.6636,5652.45,5746.49,0.0011150449671067954
UATLCXLVPYMB,UAE,Middle East,Energy,BB,USD,2026-04-15,2037-10-31,11.5549,7.8634,9.0448,8.6662,89.6118,4246.47,3805.34,0.0007383855562491492
FR5M9J98CWN2,France,Europe,Utility,BB+,USD,2024-08-16,2049-08-19,25.027,7.4302,7.6829,18.7703,95.6491,9306.83,8901.9,0.0017273185531842886
USY8FV2BC2NN,United States,North America,Industrial,A,USD,2023-09-06,2030-05-01,6.6573,4.5804,5.5647,4.993,96.0565,5622.03,5400.33,0.0010478763187991
CAUVY8N1UTOX,Canada,North America,Corporate,AA+,USD,2022-07-28,2036-02-21,13.5794,2.6326,3.6913,10.1845,89.2814,8664.45,7735.74,0.0015010376688807815
CHIE0RNUJJQ9,China,Asia,Technology,BBB+,EUR,2023-09-18,2030-11-23,7.1864,7.5427,6.9902,5.3898,103.2017,912.42,941.63,0.00018271323753748318
